Time [s],Byte
6.323113482000000,0x5A
6.323118784000000,0x80
6.323119450000000,0x5A
6.323124718000000,0x80
6.323125382000000,0x5A
6.323148518000000,0x80
6.323149182000000,0x5A
6.323184218000000,0x80
6.323184884000000,0x5A
6.323270316000000,0x80
6.323270980000000,0x5A
6.323276282000000,0x80
6.323276948000000,0x5A
6.323282250000000,0x80
6.323282914000000,0x5A
6.323288182000000,0x80
6.323288848000000,0x5A
6.323294132000000,0x80
6.323294798000000,0x5A
6.323300066000000,0x80
6.323300732000000,0x5A
6.323306034000000,0x80
6.323306698000000,0x5A
6.323317934000000,0x80
6.323318598000000,0x5A
6.323439632000000,0x80
6.323440296000000,0x5A
6.323445532000000,0x80
6.323446196000000,0x5A
6.323451464000000,0x80
6.323452130000000,0x5A
6.323457432000000,0x80
6.323458096000000,0x5A
6.323463364000000,0x80
6.323464030000000,0x5A
6.323469332000000,0x80
6.323469996000000,0x5A
6.323481232000000,0x80
6.323481896000000,0x5A
6.323708586000000,0x80
6.323709250000000,0x5A
6.323812082000000,0x80
6.323812746000000,0x5A
6.323818048000000,0x80
6.323818714000000,0x5A
6.323823950000000,0x80
6.323824614000000,0x5A
6.323829882000000,0x80
6.323830548000000,0x5A
6.323835850000000,0x80
6.323836514000000,0x5A
6.323847750000000,0x80
6.323848414000000,0x5A
6.323883450000000,0x80
6.323884114000000,0x5A
6.323982280000000,0x80
6.323982946000000,0x5A
6.323988248000000,0x80
6.323988912000000,0x5A
6.323994180000000,0x80
6.323994846000000,0x5A
6.324000148000000,0x80
6.324000812000000,0x5A
6.324006082000000,0x80
6.324006746000000,0x5A
6.324065566000000,0x80
6.324066230000000,0x5A
6.324151596000000,0x80
6.324152260000000,0x5A
6.324157530000000,0x80
6.324158194000000,0x5A
6.324163430000000,0x80
6.324164094000000,0x5A
6.324169362000000,0x80
6.324170028000000,0x5A
6.324187230000000,0x80
6.324187894000000,0x5A
6.324211030000000,0x80
6.324211694000000,0x5A
6.324234830000000,0x80
6.324235496000000,0x5A
6.324320928000000,0x80
6.324321592000000,0x5A
6.324326894000000,0x80
6.324327558000000,0x5A
6.324332828000000,0x80
6.324333492000000,0x5A
6.324338794000000,0x80
6.324339460000000,0x5A
6.324344728000000,0x80
6.324345392000000,0x5A
6.324350694000000,0x80
6.324351360000000,0x5A
6.324398296000000,0x80
6.324398960000000,0x5A
6.324592156000000,0x80
6.324592820000000,0x5A
6.324598090000000,0x80
6.324598754000000,0x5A
6.324604022000000,0x80
6.324604688000000,0x5A
6.324609974000000,0x80
6.324610638000000,0x5A
6.324615906000000,0x80
6.324616572000000,0x5A
6.324633774000000,0x80
6.324634438000000,0x5A
6.324669474000000,0x80
6.324670138000000,0x5A
6.324761372000000,0x80
6.324762036000000,0x5A
6.324767304000000,0x80
6.324767970000000,0x5A
6.324773272000000,0x80
6.324773936000000,0x5A
6.324779204000000,0x80
6.324779870000000,0x5A
6.324844672000000,0x80
6.324845338000000,0x5A
6.324930704000000,0x80
6.324931368000000,0x5A
6.324936670000000,0x80
6.324937334000000,0x5A
6.324942670000000,0x80
6.324943334000000,0x5A
6.324948636000000,0x80
6.324949302000000,0x5A
6.324954570000000,0x80
6.324955234000000,0x5A
6.324978370000000,0x80
6.324979036000000,0x5A
6.325100886000000,0x80
6.325101550000000,0x5A
6.325106852000000,0x80
6.325107516000000,0x5A
6.325112752000000,0x80
6.325113416000000,0x5A
6.325118686000000,0x80
6.325119350000000,0x5A
6.325124652000000,0x80
6.325125316000000,0x5A
6.325130586000000,0x80
6.325131250000000,0x5A
